TABLE_ID,TABLE_CATALOG,CREATED,TABLE_NAME,TABLE_SCHEMA,TABLE_OWNER,TABLE_TYPE,IS_TRANSIENT,CLUSTERING_KEY,ROW_COUNT,BYTES,RETENTION_TIME,LAST_ALTERED,AUTO_CLUSTERING_ON,COMMENT,COLUMN_COUNT
50184,FROSTBYTE_SUPERBANK,2022-06-16T00:11:10.029-07:00,CREDIT_TRENDS,EQUIFAX_RAW_,SYSADMIN,BASE TABLE,NO,,53,4096,1,2022-06-16T00:11:10.849-07:00,NO,,8
87043,CITIBIKE_DEV,2023-01-23T01:48:37-08:00,SPATIAL_DATA,UTILS,DEV_CITIBIKE,BASE TABLE,NO,,2112,679936,1,2023-01-23T01:48:40.134-08:00,NO,,2
6160,CITIBIKE_V4_RESET,2022-01-21T03:12:02.121-08:00,WEIGHT_BIRTHYEAR,RESET,DBA_CITIBIKE,BASE TABLE,NO,,65,2560,1,2022-01-21T03:12:09.223-08:00,NO,,3
7182,CITIBIKE_V4_RESET,2022-01-21T03:12:05.739-08:00,WEIGHT_HOD,RESET,DBA_CITIBIKE,BASE TABLE,NO,,168,3584,1,2022-01-21T03:12:18.227-08:00,NO,,4
7174,CITIBIKE_V4_RESET,2022-01-21T03:12:02.499-08:00,WEIGHT_GENDER,RESET,DBA_CITIBIKE,BASE TABLE,NO,,3,1536,1,2022-01-21T03:12:11.096-08:00,NO,,3
6164,CITIBIKE_V4_RESET,2022-01-21T03:12:05.094-08:00,WEIGHT_DOW,RESET,DBA_CITIBIKE,BASE TABLE,NO,,7,1536,1,2022-01-21T03:12:17.1-08:00,NO,,3
6162,CITIBIKE_V4_RESET,2022-01-21T03:12:04.071-08:00,WEIGHT_ROUTE,RESET,DBA_CITIBIKE,BASE TABLE,NO,,200,6144,1,2022-01-21T03:12:14.61-08:00,NO,,5
87041,CITIBIKE_DEV,2023-01-23T01:48:37.336-08:00,TRIPS,DEMO,DBA_CITIBIKE,BASE TABLE,NO,,6210016,200996864,1,2023-01-23T01:48:37.494-08:00,NO,,3
7186,CITIBIKE_V4_RESET,2022-01-21T03:12:21.552-08:00,TRIPS_FULL,RESET,DBA_CITIBIKE,BASE TABLE,YES,,49836757,2594766848,1,2022-01-21T03:12:35.771-08:00,NO,,18
59394,FROSTBYTE_SUPERBANK,2022-08-02T05:00:36.094-07:00,LOAN_FACT,RAW_,ACCOUNTADMIN,BASE TABLE,NO,,215000,6774784,1,2023-01-25T00:39:58.986-08:00,NO,,29
