TABLE_ID,TABLE_CATALOG,CREATED,TABLE_NAME,TABLE_SCHEMA,TABLE_OWNER,TABLE_TYPE,IS_TRANSIENT,CLUSTERING_KEY,ROW_COUNT,BYTES,RETENTION_TIME,LAST_ALTERED,AUTO_CLUSTERING_ON,COMMENT,COLUMN_COUNT
87043,CITIBIKE_DEV,2023-01-23T01:48:37.336-08:00,SPATIAL_DATA,UTILS,DEV_CITIBIKE,BASE TABLE,NO,,2112,679936,1,2023-01-23T01:48:40.134-08:00,NO,,2
6162,CITIBIKE_V4_RESET,2022-01-21T03:12:04.071-08:00,WEIGHT_ROUTE,RESET,DBA_CITIBIKE,BASE TABLE,NO,,200,6144,1,2022-01-21T03:12:14.61-08:00,NO,,5
6164,CITIBIKE_V4_RESET,2022-01-21T03:12:05.094-08:00,WEIGHT_DOW,RESET,DBA_CITIBIKE,BASE TABLE,NO,,7,1536,1,2022-01-21T03:12:17.1-08:00,NO,,3
7182,CITIBIKE_V4_RESET,2022-01-21T03:12:05.739-08:00,WEIGHT_HOD,RESET,DBA_CITIBIKE,BASE TABLE,NO,,168,3584,1,2022-01-21T03:12:18.227-08:00,NO,,4
7174,CITIBIKE_V4_RESET,2022-01-21T03:12:02.499-08:00,WEIGHT_GENDER,RESET,DBA_CITIBIKE,BASE TABLE,NO,,3,1536,1,2022-01-21T03:12:11.096-08:00,NO,,3
87041,CITIBIKE_DEV,2023-01-23T01:48:37.336-08:00,TRIPS,DEMO,DBA_CITIBIKE,BASE TABLE,NO,,6210016,200996864,1,2023-01-23T01:48:37.494-08:00,NO,,3
7186,CITIBIKE_V4_RESET,2022-01-21T03:12:21.552-08:00,TRIPS_FULL,RESET,DBA_CITIBIKE,BASE TABLE,YES,,49836757,2594766848,1,2022-01-21T03:12:35.771-08:00,NO,,18
7184,CITIBIKE_V4_RESET,2022-01-21T03:12:06.222-08:00,RIDERS,RESET,DBA_CITIBIKE,BASE TABLE,NO,,100000,6100992,1,2022-01-21T03:12:20.605-08:00,NO,,11
7180,CITIBIKE_V4_RESET,2022-01-21T03:12:04.59-08:00,WEIGHT_WK,RESET,DBA_CITIBIKE,BASE TABLE,NO,,519,11776,1,2022-01-21T03:12:15.628-08:00,NO,,3
84994,CITIBIKE,2023-01-23T01:11:05.508-08:00,TRIPS,DEMO,DBA_CITIBIKE,BASE TABLE,NO,,40721893,1328151552,1,2023-01-24T02:33:54.806-08:00,NO,,3
74761,CITIBIKE,2022-11-29T02:15:02.154-08:00,SPATIAL_DATA,UTILS,DEV_CITIBIKE,BASE TABLE,NO,,2112,679936,1,2022-11-29T02:15:07.097-08:00,NO,,2
7176,CITIBIKE_V4_RESET,2022-01-21T03:12:03.06-08:00,WEIGHT_PAYMENT,RESET,DBA_CITIBIKE,BASE TABLE,NO,,7,1536,1,2022-01-21T03:12:12.47-08:00,NO,,3
7178,CITIBIKE_V4_RESET,2022-01-21T03:12:03.561-08:00,WEIGHT_MEMBERSHIP,RESET,DBA_CITIBIKE,BASE TABLE,NO,,7,1536,1,2022-01-21T03:12:13.529-08:00,NO,,3
74762,CITIBIKE,2022-11-29T02:15:02.154-08:00,TABLEAU_QUERY_HISTORY,UTILS,DBA_CITIBIKE,VIEW,NO,,0,0,,2022-11-29T02:15:07.647-08:00,NO,,42
87042,CITIBIKE_DEV,2023-01-23T01:48:37.336-08:00,TRIPS_VW,DEMO,DBA_CITIBIKE,VIEW,NO,,0,0,,2023-01-23T01:48:38.732-08:00,NO,,16
87044,CITIBIKE_DEV,2023-01-23T01:48:37.336-08:00,TABLEAU_QUERY_HISTORY,UTILS,DBA_CITIBIKE,VIEW,NO,,0,0,,2023-01-23T01:48:40.645-08:00,NO,,42
7188,CITIBIKE_V4_RESET,2022-01-21T03:12:37.863-08:00,TRIPS,RESET,DBA_CITIBIKE,VIEW,NO,,0,0,,2022-01-21T03:12:38.072-08:00,NO,,18
88066,CITIBIKE,2023-01-24T02:33:56.462-08:00,TRIPS_VW,DEMO,DBA_CITIBIKE,VIEW,NO,,0,0,,2023-01-24T02:33:56.847-08:00,NO,,16
6160,CITIBIKE_V4_RESET,2022-01-21T03:12:02.124-08:00,WEIGHT_BIRTHYEAR,RESET,DBA_CITIBIKE,BASE TABLE,NO,,65,2560,1,2022-01-21T03:12:09.223-08:00,NO,,3
